scan_id,principle,scan_number,provider,model,temperature,context_mode,findings_count,parse_errors,duration_ms,error
flask_SRP_scan_01,SRP,1,gemini,gemini-2.5-flash,0.2,full-repo,10,0,77887.66503334045,
flask_SRP_scan_02,SRP,2,gemini,gemini-2.5-flash,0.5,full-repo,8,0,38839.41888809204,
flask_SRP_scan_03,SRP,3,gemini,gemini-2.5-flash,0.8,full-repo,26,0,67669.06309127808,
flask_SRP_scan_04,SRP,4,gemini,gemini-2.5-flash,0.2,smell-two-step,21,0,77076.42865180969,
flask_SRP_scan_05,SRP,5,gemini,gemini-2.5-flash,0.5,smell-two-step,11,0,72499.84502792358,
flask_SRP_scan_06,SRP,6,gemini,gemini-2.5-flash,0.8,smell-two-step,10,0,57918.81585121155,
flask_SRP_scan_07,SRP,7,gemini,gemini-2.5-flash,0.2,class-centric,9,0,48067.07501411438,
flask_SRP_scan_08,SRP,8,gemini,gemini-2.5-flash,0.5,class-centric,12,0,45186.371088027954,
flask_SRP_scan_09,SRP,9,gemini,gemini-2.5-flash,0.8,class-centric,5,0,49988.24501037598,
flask_SRP_scan_10,SRP,10,gemini,gemini-2.5-flash,0.2,skeleton,5,0,30542.406797409058,
flask_SRP_scan_11,SRP,11,gemini,gemini-2.5-flash,0.5,skeleton,3,0,24771.97790145874,
flask_SRP_scan_12,SRP,12,gemini,gemini-2.5-flash,0.8,skeleton,4,0,35521.02303504944,
