scan_id,principle,scan_number,provider,model,temperature,context_mode,findings_count,parse_errors,duration_ms,error
kotlinx-datetime_OCP_scan_07,OCP,7,gemini,gemini-flash-lite-latest,0.2,class-centric,0,0,596.5330600738525,
kotlinx-datetime_OCP_scan_08,OCP,8,gemini,gemini-flash-lite-latest,0.5,class-centric,0,0,644.4053649902344,
kotlinx-datetime_OCP_scan_09,OCP,9,gemini,gemini-flash-lite-latest,0.8,class-centric,0,0,2904.482841491699,
kotlinx-datetime_OCP_scan_10,OCP,10,gemini,gemini-flash-lite-latest,0.2,skeleton,0,0,1516.0160064697266,
kotlinx-datetime_OCP_scan_11,OCP,11,gemini,gemini-flash-lite-latest,0.5,skeleton,0,0,1929.4030666351318,
kotlinx-datetime_OCP_scan_12,OCP,12,gemini,gemini-flash-lite-latest,0.8,skeleton,0,0,5718.158006668091,
kotlinx-datetime_SRP_scan_01,SRP,1,gemini,gemini-2.5-flash,0.2,full-repo,21,0,55684.633016586304,
kotlinx-datetime_SRP_scan_02,SRP,2,gemini,gemini-2.5-flash,0.5,full-repo,22,0,35721.90308570862,
kotlinx-datetime_SRP_scan_03,SRP,3,gemini,gemini-2.5-flash,0.8,full-repo,24,0,61211.41219139099,
kotlinx-datetime_SRP_scan_04,SRP,4,gemini,gemini-2.5-flash,0.2,smell-two-step,6,0,30283.622980117798,
kotlinx-datetime_SRP_scan_05,SRP,5,gemini,gemini-2.5-flash,0.5,smell-two-step,12,0,76256.4628124237,
kotlinx-datetime_SRP_scan_06,SRP,6,gemini,gemini-2.5-flash,0.8,smell-two-step,9,0,38878.31211090088,
kotlinx-datetime_SRP_scan_07,SRP,7,gemini,gemini-2.5-flash,0.2,class-centric,3,0,20056.10704421997,
kotlinx-datetime_SRP_scan_08,SRP,8,gemini,gemini-2.5-flash,0.5,class-centric,1,0,11045.59588432312,
kotlinx-datetime_SRP_scan_09,SRP,9,gemini,gemini-2.5-flash,0.8,class-centric,0,0,23026.711225509644,
kotlinx-datetime_SRP_scan_10,SRP,10,gemini,gemini-2.5-flash,0.2,skeleton,3,0,16168.069124221802,
kotlinx-datetime_SRP_scan_11,SRP,11,gemini,gemini-flash-lite-latest,0.5,skeleton,0,0,12879.841089248657,
kotlinx-datetime_SRP_scan_12,SRP,12,gemini,gemini-flash-lite-latest,0.8,skeleton,0,0,1038.9750003814697,
